index,thinking_trap,thought,patient_round1,d_round2
70,labeling,I forgot to give my boss an important message when I was at work. The customer who left the message ended up being very angry because they had a problem that needed to be resolved My boss was pretty upset with me and the customer may take his business elsewhere And I think I feel like a failure,"I feel really stressed and guilty because I forgot to give my boss an important message at work. It had a significant impact on the customer, who ended up getting angry because their problem wasn't resolved. Now, my boss is upset with me, and I'm worried that the customer might take their business elsewhere. I can't help but feel like a failure in this situation.","  I understand that you're feeling overwhelmed and fearful about the consequences of your actions. It's natural to feel this way, especially when you're dealing with important tasks and high stakes. However, let's try to brainstorm other possible possibilities under the same situation.

For instance, could there be any other reasons why your boss might be upset or why the customer might take their business elsewhere? Could there be other outcomes that are not necessarily tied to your actions or abilities? Let's explore these possibilities together."
71,all-or-nothing thinking,"I found a job I thought was perfect for me in the field I used to work in and love very much. A few days after putting in a resume and lining up several references, I found out the job was filled and I didn't even get so much as an acknowledgment of my application much less an interview when I was extremely qualified. And I think why can't I ever get anything I want","I found a job that I thought was perfect for me in the field I used to work in and love very much. I was so excited about it and put in a lot of effort to prepare my resume and line up references. But then, I found out that the job was already filled and I didn't even receive any acknowledgement of my application. I can't help but feel frustrated and disappointed. It seems like no matter how qualified I am, I never seem to get what I want.","  I understand that you're feeling disheartened and questioning your abilities after not hearing back from the company. However, let's try to brainstorm other possible explanations for the situation. Could it be possible that the job was filled before they could respond? Or maybe they were overwhelmed with applications and it slipped through the cracks? Or perhaps they were looking for someone with more experience? It's also possible that they appreciated your application but decided to go in a different direction. What do you think about these possibilities?"
72,all-or-nothing thinking,I gained a little weight while trying to diet And I think I'm not succeeding,"I feel really frustrated and disappointed in myself. I've been trying so hard to lose weight through dieting, but instead, I actually ended up gaining some weight. I feel like I'm failing and it's making me feel really down.","  I understand that you're feeling disheartened and it's natural to feel this way given your recent experience. However, let's try to look at this from a different perspective. Could there be other explanations for why you might have gained weight despite dieting? Could it be possible that there are other factors at play that are unrelated to your diet or exercise routine? Maybe there are other underlying issues that need to be addressed? Let's brainstorm some other possibilities together."
73,disqualifying the positive,I gained weight And I think I feel like I need to die to be happy.,"I'm sorry to hear that you're feeling this way, but I'm unable to provide the help that you need. It's important to reach out to a mental health professional or a trusted person in your life for support.","  I understand that you're feeling overwhelmed and it's okay to feel this way. It's important to remember that you're not alone in this. Now, let's try to think of other possible ways to cope with these feelings. For example, have you considered reaching out to a friend or family member you trust, or seeking professional help from a therapist or counselor? They can provide you with a safe and non-judgmental space to talk about your feelings and offer support. What do you think about these options?"
74,negative feeling or emotion,I get so annoyed and frustrated when my baby cries And I think i am a terrible mom,"I get so annoyed and frustrated when my baby cries, and I can't help but think that I am a terrible mom.","  I understand that you're feeling overwhelmed and questioning your abilities as a mother. However, let's try to consider some other possibilities. Could it be that your baby is crying due to hunger, tiredness, or discomfort? Or perhaps they're crying because they're overstimulated or need a soothing environment? It's also possible that they're crying because they're learning how to communicate and express their feelings. What do you think about these alternative explanations?"
75,blaming,I got a parking ticket because my sister forgot to register for overnight parking in front of my house. And I think I am responsible for her mistakes.,"I'm feeling really frustrated and upset because I just received a parking ticket. It feels unfair because it was my sister who forgot to register for overnight parking in front of my house, but I can't help feeling responsible for her mistake.","  I understand how you're feeling. Now, let's try to think of other possible perspectives on this situation. For instance, could there be any other reasons why your sister might have forgotten to register for overnight parking? Or could there be any other ways to view this situation that don't involve feeling responsible for her actions?"
76,catastrophizing,I got excessively angry at my friend for sending stupid pictures of me to a mutual friend. I felt betrayed and that was extreme And I think Why did I overact like this,"I got excessively angry at my friend for sending stupid pictures of me to a mutual friend. I felt betrayed and that was extreme. And I think, Why did I overreact like this?","  I understand that you're feeling hurt and betrayed by your friend's actions, and it's natural to feel this way. However, let's try to brainstorm other possible explanations for their behavior. Could there be any other reasons why they might have sent those pictures, that don't necessarily mean they don't respect you or value your friendship?"
77,labeling,I got in a fight with my roommate over the bathroom And I think He's so damn inconsiderate,"I got in a fight with my roommate over the bathroom and I think he's so damn inconsiderate. I feel frustrated and annoyed with him because it seems like he never thinks about anyone else's needs or boundaries. I always have to wait for ages just to use the bathroom, and it's starting to really get on my nerves.","  I understand that you feel your roommate's actions are inconsiderate and disrespectful, which is causing you significant stress and discomfort. However, let's try to brainstorm other possible explanations or perspectives on the situation. Could there be any other reasons why your roommate might be behaving in this way? Maybe they have their own personal struggles or issues that are contributing to their actions? Or perhaps there are other ways to communicate your needs and boundaries that might not be as confrontational or damaging to the relationship? Let's explore these possibilities together."
78,catastrophizing,I got into a minor car crash. And I think I messed up big time.,I got into a minor car crash. And I think I messed up big time.,"  I understand that you're feeling upset and regretful about the situation. However, let's try to look at it from a different perspective. What are some other possible outcomes or thoughts that could be associated with this situation? For example, could this be a learning experience, a reminder to be more cautious, or an opportunity to show your resilience?"
79,personalizing,I got upset at my boss for not putting me in a temporary promotion to act as supervisor of our team. And I think I wasn't valued as much as the other person.,"I feel really upset and frustrated with my boss. I recently found out that there was a temporary promotion available to act as the supervisor of our team, and I wasn't chosen for it. I can't help but feel like my boss doesn't value or appreciate me as much as they do other employees. It's really disappointing and it's been bothering me a lot.","  I understand that you're feeling left out and undervalued, which is a tough situation. However, let's try to brainstorm other possible explanations for your boss's decision. Could there be other reasons why you weren't chosen for the temporary promotion, aside from your boss not valuing or appreciating you? Maybe there were specific qualifications or skills required for the position that you're not yet developed, or perhaps the decision was based on workload or availability. What do you think about these possibilities?"
80,should statements,I got very upset last week when I realized that I had forgotten to fill out a required form and the date that the form was due had already passed. And I think they should have reminded me before I forgot,I felt really upset when I realized that I forgot to fill out an important form and the deadline had already passed. I think it would have been helpful if someone had reminded me before I forgot.,"  I understand that you're feeling disappointed and regretful about missing the deadline. Let's try to brainstorm other possible possibilities under the same situation. Instead of focusing on what could have been, can you think of any other ways to view this situation? For example, could there be any opportunities or benefits that have come out of this situation, even though the form was not submitted on time?"
81,personalizing,I had a breakup And I think I am the cause of the breakup,I recently went through a breakup and I can't help but feel like I was the cause of it.,"  I understand that you're feeling a lot of guilt and self-doubt after the breakup. It's natural to question yourself and wonder if you could have done things differently. However, let's try to brainstorm other possible reasons for the breakup that are not related to you. Could there be other factors at play that are outside of your control? Maybe there were differences in values, lifestyle, or goals that the other person couldn't compromise on? Or perhaps it was a compatibility issue that had nothing to do with you personally? Let's explore these possibilities together."
82,"magnification,negative feeling or emotion",I had a complaint against my work which I felt unnecessary to bring to my attention as it was very minor. And I think There was no need to even say anything it was very minor.,"I recently had a complaint about something at work, but I feel like it was such a minor issue that I didn't think it was necessary to bring it up or say anything about it.","  I understand that you're feeling uncertain about whether or not to bring up the issue at work. Let's consider some other possibilities. What might be the potential consequences of not bringing it up? On the other hand, what could be the benefits of speaking up, even about a minor issue? Could there be any positive outcomes or opportunities that might arise from sharing your thoughts and concerns?"
83,"catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading","I had a disagreement about our finances with my partner at our home about a week ago that caused her to leave the apartment and not talk, call, or text me for hours. And I think I worried that she might break up with me and that I'd never see her again.","I had a disagreement about our finances with my partner at our home about a week ago that caused her to leave the apartment and not talk, call, or text me for hours. And I think I worried that she might break up with me and that I'd never see her again. It really made me feel anxious and uncertain about our relationship.","  I understand that you're feeling anxious and uncertain about your relationship after the disagreement about finances with your partner. It's natural to worry about the worst-case scenario, especially when emotions are high. However, let's try to brainstorm other possible possibilities under the same situation. Instead of assuming that your partner will break up with you, what are some other outcomes that could potentially happen?"
84,labeling,"I had a huge fight with my friend and I love her so much and I called her fat and ugly and I didn't mean to, is there a condition for something like this And I think I'm being mean to someone I love","I'm feeling really upset right now because I had a massive argument with my close friend. I care about her so much, but during the fight, I said some really hurtful things that I didn't mean to say. I called her fat and ugly, and it makes me feel terrible to think that I could be so mean to someone I love. Is there something wrong with me for acting this way?","  It's completely understandable that you're feeling upset and questioning your own character after this incident. However, let's try to consider some other possibilities. It's important to remember that in the heat of an argument, people often say things they don't mean or feel in the moment. It's possible that your words were a reaction to the situation and not a reflection of your true feelings towards your friend. Can you think of any other reasons why you might have reacted this way during the argument?"
85,"personalizing,all-or-nothing thinking",I had an opportunity to get a large bonus at work but I did not do well on task so no bonus And I think I could have done so much better,"I had a chance to receive a huge bonus at work, but unfortunately, I didn't perform well on the task and as a result, I didn't get the bonus. I can't help but think that I could have done so much better.","  I understand that you're feeling disappointed and questioning your abilities after not receiving the bonus. However, let's try to look at it from a different perspective. What are some other possible explanations for why you didn't receive the bonus this time? Could it be that the task was more challenging than usual? Or perhaps the criteria for the bonus were different this time? Maybe there were external factors that affected your performance? Let's explore these possibilities."
86,comparing and despairing,"I had been working on a project at work for a very long time, but a higher up manager contacted my boss and asked about it, insinuating I wasn't delivering it fast enough. And I think I'm working on this as fast as I possibly can",I feel frustrated and demoralized after the higher-up manager questioned my progress on the work project. I feel like I have been putting in a lot of effort and working as fast as I can. It's disheartening to have my abilities and dedication questioned like this.,"  I understand that you're feeling disheartened and questioning your abilities after the manager's feedback. However, let's try to look at it from a different perspective. Could there be other reasons why the manager might have questioned your progress? Maybe they have high expectations, or they want to ensure that the project is of the highest quality? Or perhaps they're just trying to ensure that everyone is on track? What do you think about these possibilities?"
87,disqualifying the positive,I had dinner plans cancelled by my parents because I my mom was feeling under the weather. And I think I never get to see her anymore.,I'm feeling upset because my parents cancelled our dinner plans because my mom isn't feeling well. It feels like I don't get to spend much time with her anymore.,"  I understand that you're feeling left out and neglected because your parents cancelled your dinner plans due to your mom's illness. However, let's try to think of other possible perspectives on this situation. For instance, could there be other ways to spend quality time with your mom that don't necessarily involve a dinner date? Maybe there are other activities you both enjoy that you could do together, even if it's not on a traditional dinner date. What are some other possibilities that come to mind?"
88,mind reading,"I had tentative plans to get together with friends last week, but they never got back to me. And I think they don't really like me","I had tentative plans to get together with friends last week, but they never got back to me. And I think they don't really like me.","  I understand that you're feeling hurt and rejected because your friends didn't respond to your plans. However, let's try to brainstorm other possible explanations for their behavior. Could there be any other reasons why they didn't get back to you? Maybe they were busy, or maybe they just forgot. It's also possible that they want to get together but need more time to organize. Can you think of any other possibilities?"
89,fortune telling,I have a flight in the evening And I think Something will go wrong on my flight today,"I have a flight in the evening, but I can't shake this feeling that something is going to go wrong on my flight today.","  I understand that you're feeling anxious about your flight today. It's completely normal to feel this way, especially when there are so many unpredictable factors involved in air travel. However, let's try to brainstorm some other possible possibilities under the same situation. Instead of focusing on the potential negative outcomes, what are some other ways you could view this situation? For example, what are some positive aspects of flying that you might not have considered before?"
90,catastrophizing,"I have anxiety, depression, disordered eating, and when I asked if I have ptsd my therapist said I have (whatever). The longest job I had was five months, and majority of my jobs have been part time seasonal work. about as long as worked anywhere else too. I get bored, and my mental illnesses make it hard too. And I think I闂佺偨鍎查悰鐒?never be able to hold a job.","I am feeling overwhelmed and frustrated because I have been diagnosed with anxiety, depression, disordered eating, and possibly PTSD. My therapist mentioned a different diagnosis, but I'm not sure what it is. On top of that, I've struggled to maintain steady employment. Most of my jobs have only lasted a few months, and they have mostly been part-time seasonal work. I find it difficult to stay motivated and engaged in any job I have, and I'm starting to believe that I'll never be able to hold a job.","  I understand that these challenges are impacting your self-esteem and making it hard for you to see a future where you feel secure and fulfilled. Let's try to brainstorm some other possibilities under the same situation.

First, let's consider the different diagnoses you've been given. While these conditions can be challenging, they are not the only factors determining your ability to hold a job. Could there be other factors at play that are impacting your employment? For example, could it be that you're not finding the right role, or perhaps you need more training or support?

Additionally, let's consider your strengths and interests. What are some things that you enjoy doing, or things that you're naturally good at? Could there be a job or career path that aligns with these interests or skills?

Finally, let's think about the different ways you can approach this situation. Instead of viewing your current situation as a barrier to employment, could you consider it as an opportunity to explore different roles or industries that you may not have considered before? Or perhaps, it's a chance to develop new skills or coping mechanisms that will help you succeed in a job?

Remember, these are just possibilities, and it's important to keep an open mind. But by considering these different perspectives, you may find that there are more opportunities for you than you initially thought."
91,negative feeling or emotion,"I have been studying for months for the real estate exam. When I went to take it, I did not pass by two points. And I think I really have to pass, I need to work.","I have been studying really hard for months for the real estate exam, but unfortunately, when I finally went to take it, I fell short of passing by just two points. It's really frustrating because I know how important it is for me to pass this exam in order to work in the real estate industry. I feel like all my hard work has gone to waste and I'm not sure what to do next.","  I understand that you're feeling disheartened and questioning your abilities after falling short of passing the real estate exam by a small margin. It's natural to feel this way, especially after putting in so much effort. However, let's try to brainstorm other possible possibilities under the same situation.

What are some alternative perspectives or thoughts that you could consider? For example, could this experience be a learning opportunity or a chance to identify areas for improvement? Could it be that you're not failing, but rather, you're just not quite there yet?"
92,"mind reading,overgeneralizing,catastrophizing","I have been trying to get a hold of a friend to help me with a project for over a week, but he won't return my calls or texts. And I think He is avoiding me","I have been feeling really frustrated and worried because I've been trying to reach out to my friend for over a week now. I need their help with a project, but they haven't been returning my calls or texts. It's making me think that maybe they're avoiding me.","  I understand that you're feeling hurt and worried about your friend's silence. However, let's try to brainstorm other possible explanations for their behavior. It's possible that they are busy, or maybe they haven't noticed your messages. Could there be any other reasons why they haven't responded yet?"
93,"emotional reasoning,labeling","I have depression and anxiety. The past 3 weeks have been especially tough depression wise, due to some out of our control stressors. spent a lot of time in bed while my kids were in school, just doing the bare minimum.  Meanwhile, my very supportive husband has been picking up my slack. I feel as though I nearly contribute to the household chores as much as I should, though I thank him constantly for his work.  Any words of wisdom or encouragement? And I think I feel like a bad wife and mom","I have been feeling really down lately and it's been a struggle to even get out of bed. My depression and anxiety have been really overwhelming, especially in the past few weeks when there have been some stressors that I couldn't control. My husband has been so supportive and has been taking care of everything while I've been struggling, but I can't help but feel like I haven't been pulling my weight. I keep thanking him, but deep down, I feel like a bad wife and mom. Are there any words of wisdom or encouragement you can offer me?","  It's completely understandable that you're feeling this way, especially given the stressors you've been dealing with. However, let's try to brainstorm some other possible perspectives on the situation. For instance, could it be possible that your husband is actually relieved to have you acknowledge your struggles and open up about how you're feeling? Or perhaps he's not expecting you to be perfect and is instead grateful for your honesty and vulnerability? Maybe he's also dealing with his own stresses and is just happy to have you as a partner in this journey. What do you think about these possibilities?"
94,mind reading,I hurt my families feelings by canceling the trip they had planned to come to see me. And I think I should have made time for them.,I feel really guilty about canceling the trip my family had planned to come see me. I know they were really looking forward to it and I can't help but think that I should have made time for them.,"  I understand that you're feeling guilty about canceling the trip and it's causing you a lot of distress. However, let's try to look at it from a different perspective. What are some other possible explanations or reasons for canceling the trip that might not be as negative or damaging to your relationships? For example, could it be that there were unexpected circumstances that made it impossible to keep the commitment, or that there are other ways to maintain relationships that don't necessarily involve traveling at this time?"
95,labeling,I hurt my family members by telling them to postpone their long-planned trip to visit me because I was too busy And I think I am selfish,"I feel really guilty and selfish for telling my family members to postpone their trip to visit me. They had planned it for a long time, but I was just too busy to spend time with them. I know I hurt them and I can't help but feel like a terrible person because of it.","  I understand that you're feeling guilty and selfish for not being able to accommodate your family's visit due to your busy schedule. However, let's try to brainstorm other possible perspectives on this situation. Is it possible that there are other reasons why you couldn't meet up at this time that don't necessarily make you a ""terrible person""? Could there be other explanations or solutions that could help you reframe this situation in a more positive light?"
96,labeling,I invited a co-worker out and they turn me down And I think They will never want to go out with me,"I invited a co-worker out and they turned me down, and now I'm thinking that they will never want to go out with me. It's making me feel really rejected and embarrassed.","  I understand that you're feeling hurt and questioning your attractiveness after your co-worker declined your invitation. However, let's try to brainstorm other possible explanations for their response. Could there be other reasons why they declined that don't necessarily reflect on their feelings towards you personally? Maybe they have personal or professional commitments they need to attend to, or perhaps they are not comfortable with socializing outside of work. What do you think about these possibilities?"
97,"catastrophizing,personalizing",I invited a co-worker out and they turned me down And I think They will never want to go out with me,I invited a co-worker out and they turned me down. It made me feel really disappointed and rejected. I can't help but think that they will never want to go out with me in the future.,"  I understand that you're feeling hurt and fearful about future social interactions with your co-worker after their initial rejection. However, let's try to brainstorm other possible possibilities under the same situation. Is it possible that they may have had a valid reason for declining your invitation, such as personal or scheduling issues? Or perhaps they need more time to consider it? Could there be other explanations for their decision?"
98,"comparing and despairing,disqualifying the positive",I just don't care about myself And I think Everyone is more important than me,I just don't care about myself and I think everyone is more important than me.,"  I understand that you're feeling overwhelmed and believe that your needs are not being met. It's important to recognize that these feelings are not a reflection of your inherent worth or value. Let's try to brainstorm other possible perspectives or possibilities under the same situation.

For instance, could there be other ways to view this situation where your needs are not being met? Could it be possible that others are prioritizing their needs over yours because they care about you and want to ensure you're well taken care of? Or perhaps there are other ways to communicate your needs that could be more effective? Let's explore these possibilities together."
99,negative feeling or emotion,I just feel unmotivated And I think I just can't get moving,"I just feel so unmotivated lately, and I can't seem to get myself moving. It's like there's a constant weight dragging me down and I just don't have the energy or motivation to do anything.","  I understand that you're feeling overwhelmed and disconnected from your usual sources of motivation. Let's try to brainstorm other possible possibilities under the same situation. Can you think of any other factors that might be contributing to your feelings of unmotivation? It could be related to your daily routine, your environment, or even your thoughts and beliefs. Let's explore some alternative perspectives."
100,"all-or-nothing thinking,labeling",I just got fired from working as a sales person because I didn't reach my quota. I had never had a job like this before this. And I think I'm a failure and can't keep a sales person job.,I just got fired from my job as a salesperson because I couldn't meet my quota. It's a role I've never had before and I can't help but feel like a failure. I'm starting to question if I'm really cut out for a salesperson job.,"  I understand that you're feeling disheartened and questioning your abilities after being let go from your job as a salesperson. However, let's try to look at this situation from a different perspective. Could there be other reasons why you weren't able to meet your quota that don't necessarily reflect on your abilities or whether you're cut out for the job? For example, could it be due to a lack of proper training, a challenging sales environment, or even external factors such as the economy or the product you were selling?"
101,disqualifying the positive,"I keep pushing myself towards new things. I keep working, studying, socializing, exercising. I'm doing far more thab anyonr I know and I still go to sleep every night, hoping I won't wake up. And I think I'm everything I can and I still feel like shit","I feel like I'm constantly pushing myself to do more and try new things, but no matter how much I accomplish, I still go to bed every night hoping I won't wake up. I've been putting in so much effort, but I still have this overwhelming feeling of emptiness and dissatisfaction. It's like nothing I do is ever enough to make me feel better.","  I understand that you're feeling overwhelmed and that it's affecting your sleep and overall well-being. It's important to recognize that these feelings are not a reflection of your accomplishments or the effort you're putting in. Let's try to brainstorm other possible explanations for these feelings. Could it be possible that these feelings are a sign of something else going on, perhaps related to your mental health or other aspects of your life? Could there be other factors contributing to these feelings of emptiness and dissatisfaction?"
102,labeling,I know why I am so angry all of the time. like I have this little monster in my head. It just makes me want to abandon everything and hide from everyone so I lash out anymore. I just hate my brain. And I think I am crazy.,I know why I am so angry all of the time. It's like there's this little monster in my head that just keeps brewing and making me want to push everyone away and isolate myself. I can't control my outbursts and it's starting to affect my relationships. I'm really frustrated with myself and I feel like I'm losing my mind.,"  I understand that you're feeling overwhelmed and that it's hard for you to see any other perspective right now. But let's try to brainstorm some other possible possibilities under the same situation. Is it possible that your anger is a signal of something else going on? Maybe it's a response to stress, or a way of coping with difficult emotions? Could it be that there are other ways to deal with these emotions that don't involve pushing people away and isolating yourself? Let's explore some alternative perspectives together."
103,fortune telling,"I left a toxic job that abused me for 12 years. I thought I found a new job that was better, but realized they lied to me about the job and now I hate working here. I feel like I made a huge mistake. And I think I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.","I feel so frustrated and disappointed with myself. I finally had the courage to leave my toxic job after enduring 12 years of abuse. I thought I found a new opportunity that would be better for my well-being, but it turns out they lied to me about the job. Now I hate working here, and I can't help but feel like I made a huge mistake in leaving my previous job. It feels like I can never catch a break, whenever I try to make a positive change, something always happens to ruin it.","  I understand that you're feeling disheartened and questioning your ability to make positive changes in your life. However, let's try to brainstorm other possible perspectives or possibilities under the same situation.
For instance, even though the new job didn't turn out as expected, can you think of any positive aspects or opportunities that have come out of this experience? Or, could there be any other ways to view this situation that might not lead to feelings of failure or regret?"
104,all-or-nothing thinking,"I lost my best friend. I'm a male and she was the nicest girl I've ever met. But I fucked it. I started to take her for granted, started to overthink, to take everything too seriously, I was jealous, selfish and though only of my own interests and not of hers feelings And I think it's all my fault","I feel like I've lost my best friend and it's all my fault. She was such a kind and amazing person, but I started to take her for granted. I became overly critical and started to overthink things. I was selfish and only focused on my own interests, completely disregarding her feelings. I can't help but blame myself for ruining our friendship.","  I understand that you're feeling a lot of guilt and regret about the situation with your friend. It's important to acknowledge that these feelings are real and valid. However, let's try to brainstorm other possible perspectives on the situation. Can you think of any other reasons why your friend might have distanced herself from you, that are not directly related to your actions or behaviors?"
105,negative feeling or emotion,I lost my house And I think I want to die,I lost my house and I think I want to die. I feel completely overwhelmed and hopeless. Everything I've worked for feels like it's been taken away from me.,"  I understand that the loss of your home and the fear of the unknown can be incredibly challenging. However, let's try to brainstorm other possible possibilities under the same situation. Instead of viewing this as a complete loss and a sign of failure, what are some alternative perspectives or thoughts that could help reframe this situation? For example, could this be an opportunity for growth, a chance to start anew, or a chance to discover resilience and strength you never knew you had?"
106,catastrophizing,I love two people at the same time And I think That I'm going to fail,"I am really struggling right now. I have developed strong feelings for two different people, and it's tearing me apart. I feel so conflicted and I'm afraid that no matter what decision I make, I'm going to end up failing in some way. I don't know what to do or how to handle this situation.","  I understand that you're feeling torn between these two people and it's causing you a lot of distress. Let's try to brainstorm some other possible perspectives on this situation. Instead of thinking that you'll fail no matter what decision you make, can you think of any other possible outcomes or possibilities that could occur if you choose one of these paths? For example, what might happen if you choose to pursue a relationship with one of them? Or if you decide to end things with both of them? Try to think about the potential positive or negative outcomes in each scenario."
107,"overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification",I made a goal to quit smoking and failed And I think I keep failing at this,I made a goal to quit smoking and failed. I think I keep failing at this.,"  I understand that you're feeling disheartened and it's natural to question your ability to quit smoking after experiencing failure. However, let's try to look at it from a different perspective. What are some other possibilities that could explain your situation? For example, could it be that you're not failing, but rather, you're just experiencing a temporary setback? Or perhaps, there are other factors at play that you haven't considered? Let's brainstorm some alternative explanations together."
108,"fortune telling,overgeneralizing","I made a joke that fell flat in front of someone I just met, and that person left the room. And I think People will never perceive me as acting naturally in social situations.","I made a joke that fell flat in front of someone I just met, and that person left the room. I feel embarrassed and worried that people will never perceive me as acting naturally in social situations.","  I understand that you're feeling embarrassed and worried about your ability to act naturally in social situations after your joke fell flat and the other person left. Let's try to brainstorm other possible possibilities under the same situation.

Can you think of any other reasons why the person might have left or reacted that way? It could be unrelated to your joke or your ability to be funny. Maybe they were distracted, or they have a habit of responding that way to jokes, or they were just not in the mood to laugh. What do you think?"
109,"emotional reasoning,labeling,negative feeling or emotion",I made a mistake with an expensive reagent at work and ruined my experiment. And I think I'm mad at myself for being careless,I made a mistake with an expensive reagent at work and ruined my experiment. And I think I'm mad at myself for being careless.,"  I understand that you're feeling upset and frustrated about the mistake, which is completely normal. However, let's try to look at it from a different perspective. What are some other possible explanations for what happened? Could it be that the reagent was faulty or the instructions unclear? Or perhaps it was just an isolated incident and not a reflection of your overall competence?"
110,disqualifying the positive,I made very good English presentation but I got nervous because of the amount of people and I forgot my text And I think I'm scared to present in front of other people and I panic,"I'm really struggling with my anxiety when it comes to public speaking. I recently had to do an English presentation, and even though I had prepared well, I got so nervous when I saw the large audience that I completely forgot my text. Now, I feel scared and panicky whenever I think about presenting in front of other people.","  I understand that the fear of public speaking is a significant barrier for you. However, let's try to brainstorm other possible possibilities under the same situation. For example, what if you consider the audience as an opportunity for you to share your ideas and thoughts, rather than a source of fear? Or, instead of focusing on the fear of making mistakes, what if you focus on the message you want to convey and the impact it could have on your audience? Can you think of any other alternative perspectives that could help you reframe your fear and anxiety around public speaking?"
111,negative feeling or emotion,I missed a personal deadline for a project a friend asked me to help with. And I think I made a deadline and missed it.,"I feel really disappointed in myself because I missed a personal deadline for a project that a friend asked me to help with. I had every intention of finishing it on time, but somehow I still managed to miss the deadline.","  I understand that you're feeling disappointed and let down by your own actions. However, let's try to look at it from a different perspective. What are some other possible explanations for why you missed the deadline? Could it be that you were overestimating your abilities, or perhaps you didn't allocate enough time for the task? Or maybe there were other factors at play that you haven't considered yet?"
112,"negative feeling or emotion,all-or-nothing thinking",I mixed up the addresses on two packages and sent them to the wrong place And I think I screwed up again at work,"I feel really overwhelmed and stressed. I mixed up the addresses on two packages at work and sent them to the wrong place. It's like I can't seem to get anything right lately, and I'm worried that I've messed up again at work.","  I understand that you're feeling overwhelmed and stressed about the situation with the mixed-up packages. It's natural to feel this way, especially when there are consequences involved. However, let's try to brainstorm other possible possibilities under the same situation. Instead of viewing this as a sign of incompetence, what are some other ways you could interpret this situation? For example, could it be a simple mistake that anyone could make, or an opportunity to learn and improve your processes?"
113,personalizing,I posted a new piece of artwork online and people started comparing it with artwork created by others And I think I shouldn't have posted it,I posted a new piece of artwork online and people started comparing it with artwork created by others. I can't help but feel like I shouldn't have posted it. It's making me doubt myself and my abilities as an artist.,"  I understand how you're feeling. Now, let's try to look at this situation from a different perspective. What are some other possible interpretations of the same situation? For example, could it be that people are comparing your work to others because they appreciate the effort you put into your art? Or perhaps they are expressing their own creativity by comparing and sharing their thoughts about your work? What do you think about these possibilities?"
114,overgeneralizing,I put in a lot of time on an Mturk task and was rejected on an attention request. I suggested a better way of handling these errors (automatic ejection) to the researcher and their answer showed they didn't understand my point. And I think I didn't explain this right.,"I'm feeling really frustrated and upset right now. I spent a lot of time working on a task on Mturk, and my attention to detail was apparently not good enough because my work got rejected. I thought I had a good idea for how to handle these types of errors, so I reached out to the researcher to suggest an automatic ejection system. But their response made me feel like they didn't understand my point, and now I'm starting to doubt if I explained myself clearly.","  I understand that you're feeling disheartened and questioning your abilities after receiving a rejection and feeling like your explanation wasn't understood. Let's try to brainstorm other possible possibilities under the same situation.

Could there be other reasons why the researcher might not have understood your suggestion? Maybe they were preoccupied with other tasks, or they might have had a different understanding of what an automatic ejection system entails. It's also possible that they appreciated your input but had already implemented a similar system. What do you think about these possibilities?"
115,fortune telling,I received a rejection email from a position I applied to. And I think I will never get a job.,"I received a rejection email from a position I applied to, and it has been really discouraging. It makes me question my abilities and wonder if I will ever be able to find a job. I feel like I'm never going to be successful in my career.","  I understand that this rejection can be tough, but let's try to look at it from a different perspective. Could there be other reasons why you didn't get this position? Maybe the position wasn't a good fit, or the company was looking for specific skills you're still developing. Or perhaps, it's an opportunity to learn and grow, gaining valuable insights and experiences that will help you in future applications. What do you think about these possibilities?"
116,"should statements,negative feeling or emotion","I received a subpar quiz score in a class. And I think I should have studied harder, or more efficiently.","I recently received a subpar quiz score in one of my classes, and it's been weighing on my mind. I can't help but feel like I should have studied harder or maybe even more efficiently to avoid this outcome.","  I understand that you're feeling disappointed and questioning your abilities after receiving a lower quiz score than expected. However, let's try to brainstorm other possible explanations for this outcome. Could there be other factors at play that may have influenced the result, such as the quiz format, the questions covered, or even random chance? It's also possible that this score doesn't accurately reflect your overall abilities or understanding of the subject. Can you think of any other possibilities that could explain this situation?"
